t,loss,phase,noise
0.1999999999999999,21.948421478271484,NF2,0.0
0.2499999999999999,21.7642879486084,NF1,0.0
0.2499999999999999,21.955419540405277,NF2,0.0
0.3,21.704442977905277,NF1,0.0
0.3,21.828126907348636,NF2,0.0
0.35,21.6832275390625,NF1,0.0
0.35,21.886646270751957,NF2,0.0
0.3999999999999999,21.734987258911133,NF1,0.0
0.3999999999999999,21.87448501586914,NF2,0.0
0.4499999999999999,21.64995574951172,NF1,0.0
0.4499999999999999,21.936697006225582,NF2,0.0
0.4999999999999999,21.726232528686523,NF1,0.0
0.4999999999999999,21.880617141723636,NF2,0.0
0.5499999999999999,21.559307098388672,NF1,0.0
0.5499999999999999,21.91581916809082,NF2,0.0
0.6,21.719655990600582,NF1,0.0
0.6,21.948213577270508,NF2,0.0
0.6499999999999999,21.66208839416504,NF1,0.0
0.6499999999999999,21.900440216064453,NF2,0.0
0.7,21.661670684814453,NF1,0.0
0.7,21.91322326660156,NF2,0.0
0.7499999999999999,21.679122924804688,NF1,0.0
0.7499999999999999,21.90171241760254,NF2,0.0
0.7999999999999999,21.689361572265625,NF1,0.0
0.7999999999999999,21.90899658203125,NF2,0.0
0.85,21.726869583129883,NF1,0.0
0.85,21.87008285522461,NF2,0.0
0.8999999999999999,21.670936584472656,NF1,0.0
0.8999999999999999,22.034889221191406,NF2,0.0
0.95,21.691261291503903,NF1,0.0
0.95,21.98262596130371,NF2,0.0
0.0,21.670631408691406,NF1,0.1
0.0,21.924854278564453,NF2,0.1
0.0499999999999999,21.895570755004883,NF1,0.1
0.0499999999999999,22.05892562866211,NF2,0.1
0.0999999999999999,22.852134704589844,NF1,0.1
0.0999999999999999,22.473264694213867,NF2,0.1
0.15,26.821094512939453,NF1,0.1
0.15,25.01772117614746,NF2,0.1
0.1999999999999999,29.34457015991211,NF1,0.1
0.1999999999999999,30.757774353027344,NF2,0.1
0.2499999999999999,27.75716590881348,NF1,0.1
0.2499999999999999,26.3857364654541,NF2,0.1
0.3,38.126277923583984,NF1,0.1
0.3,30.272401809692383,NF2,0.1
0.35,31.729049682617188,NF1,0.1
0.35,29.698505401611328,NF2,0.1
0.3999999999999999,32.162288665771484,NF1,0.1
0.3999999999999999,30.341033935546875,NF2,0.1
0.4499999999999999,30.00321388244629,NF1,0.1
0.4499999999999999,35.419464111328125,NF2,0.1
0.4999999999999999,26.466217041015625,NF1,0.1
0.4999999999999999,26.109872817993164,NF2,0.1
0.5499999999999999,31.740951538085938,NF1,0.1
0.5499999999999999,31.04158973693848,NF2,0.1
0.6,32.53382110595703,NF1,0.1
0.6,31.161012649536133,NF2,0.1
0.6499999999999999,34.65727615356445,NF1,0.1
0.6499999999999999,28.443395614624023,NF2,0.1
0.7,28.208690643310547,NF1,0.1
0.7,28.60245704650879,NF2,0.1
0.7499999999999999,28.42064476013184,NF1,0.1
0.7499999999999999,25.86764907836914,NF2,0.1
0.7999999999999999,28.06300544738769,NF1,0.1
0.7999999999999999,25.99926376342773,NF2,0.1
0.85,23.775691986083984,NF1,0.1
0.85,23.350601196289062,NF2,0.1
0.8999999999999999,22.109357833862305,NF1,0.1
0.8999999999999999,22.654157638549805,NF2,0.1
0.95,21.65598487854004,NF1,0.1
0.95,21.95841789245605,NF2,0.1
0.0,21.736053466796875,NF1,0.0
0.0,21.92064666748047,NF2,0.0
0.0499999999999999,21.60755920410156,NF1,0.0
0.0499999999999999,21.937488555908203,NF2,0.0
0.0999999999999999,21.60728645324707,NF1,0.0
0.0999999999999999,21.83147430419922,NF2,0.0
0.15,21.720008850097656,NF1,0.0
0.15,21.82015419006348,NF2,0.0
0.1999999999999999,21.679706573486328,NF1,0.0
0.1999999999999999,21.92342185974121,NF2,0.0
0.2499999999999999,21.74175262451172,NF1,0.0
0.2499999999999999,21.923797607421875,NF2,0.0
0.3,21.72783470153809,NF1,0.0
0.3,21.930891036987305,NF2,0.0
0.35,21.71697998046875,NF1,0.0
0.35,21.84846305847168,NF2,0.0
0.3999999999999999,21.656574249267575,NF1,0.0
0.3999999999999999,21.935945510864254,NF2,0.0
0.4499999999999999,21.718521118164062,NF1,0.0
0.4499999999999999,21.94177627563477,NF2,0.0
0.4999999999999999,21.72516250610352,NF1,0.0
0.4999999999999999,21.916229248046875,NF2,0.0
0.5499999999999999,21.679519653320312,NF1,0.0
0.5499999999999999,21.946792602539062,NF2,0.0
0.6,21.76365852355957,NF1,0.0
0.6,21.89700698852539,NF2,0.0
0.6499999999999999,21.696840286254883,NF1,0.0
0.6499999999999999,21.939910888671875,NF2,0.0
0.7,21.62937355041504,NF1,0.0
0.7,21.898887634277344,NF2,0.0
0.7499999999999999,21.673450469970703,NF1,0.0
0.7499999999999999,21.904224395751957,NF2,0.0
0.7999999999999999,21.70881080627441,NF1,0.0
0.7999999999999999,21.90322494506836,NF2,0.0
0.85,21.70355224609375,NF1,0.0
0.85,21.884092330932617,NF2,0.0
0.8999999999999999,21.703081130981445,NF1,0.0
0.8999999999999999,21.948108673095703,NF2,0.0
0.95,21.665403366088867,NF1,0.0
0.95,21.95347023010254,NF2,0.0
0.0,21.80474853515625,NF1,0.1
0.0,21.8544921875,NF2,0.1
0.0499999999999999,21.806787490844727,NF1,0.1
0.0499999999999999,22.136993408203125,NF2,0.1
0.0999999999999999,21.917251586914062,NF1,0.1
0.0999999999999999,22.24103736877441,NF2,0.1
0.15,23.04327392578125,NF1,0.1
0.15,24.73764419555664,NF2,0.1
0.1999999999999999,28.34750366210937,NF1,0.1
0.1999999999999999,28.28372383117676,NF2,0.1
0.2499999999999999,27.99327850341797,NF1,0.1
0.2499999999999999,27.473678588867188,NF2,0.1
0.3,33.43306350708008,NF1,0.1
0.3,29.617055892944336,NF2,0.1
0.35,32.115360260009766,NF1,0.1
0.35,32.10659408569336,NF2,0.1
0.3999999999999999,32.47602844238281,NF1,0.1
0.3999999999999999,34.49647903442383,NF2,0.1
0.4499999999999999,33.04475021362305,NF1,0.1
0.4499999999999999,28.164852142333984,NF2,0.1
0.4999999999999999,30.4172306060791,NF1,0.1
0.4999999999999999,31.570941925048828,NF2,0.1
0.5499999999999999,32.90003967285156,NF1,0.1
0.5499999999999999,27.627450942993164,NF2,0.1
0.6,27.873306274414062,NF1,0.1
0.6,31.301143646240234,NF2,0.1
0.6499999999999999,29.578842163085938,NF1,0.1
